Task Type,Task Description,Points Awarded,Smart Contract,Links,Claim Amount,Deadline
Mint,Forage x 747 Airlines,250,0x67cF783eD0925F2C8d56cAf906f3daa1172D7dAB,https://forage.xyz/p/01HT3MC4CTKPVQWQ6TX052RXGF,1,April 28
Mint,All 747 Airlines NFTs (made in April),747,,https://zora.co/collect/base:0xa0487df3ab7a9e7ba2fd6bb9acda217d0930217b,1,April 28
Mint,At least 1 747 Airlines NFT (in $crash),500,,ZORA · Explore · $crash,1,April 28
Mint,Imagine x 747 Air NFT,333,,https://zora.co/collect/base:0xa0487df3ab7a9e7ba2fd6bb9acda217d0930217b/53,1,April 28
Mint,leaderboard from 747 game,500,,,1,April 28
Mint,Destinations! Boarding Pass,2000,,Passenger Ticket & Baggage Check,1,April 28
Swap,(any token) for $SFO,250,,https://app.uniswap.org/explore/tokens/base/0x38e540ca0315bd0de92ed7c4429418bf51826549,1,April 28
Swap,(any token) for $NYC,250,,https://app.uniswap.org/explore/tokens/base/0xbb769d7a13e3f10957741b2b13e6c2c4c67908fa,1,April 28
Swap,(any token) for $CRASH,250,,https://app.uniswap.org/explore/tokens/base/0x621e87af48115122cd96209f820fe0445c2ea90e,1,April 28
LP,$CRASH/$ETH for month of April,1500,,https://app.uniswap.org/explore/pools/base/0xb6B2410fCbEe0584314af4F859b7B896616f2E51,1,April 28
Tip,Casts made in /747Air /higher / imagine /enjoy or /degen channels,250,,,1,April 28
Buy,747 Gear from Warpshop Frames,747,,,5,April 28
Follow,747 Air on Orb,474,,https://orb.club/@747,1,April 28
Follow,747 Air on Warpcast,474,,https://warpcast.com/boeing747,1,April 28
Follow ,747 Air Channel on Warpcast,474,,https://warpcast.com/~/channel/747air,1,April 28
Profile Cosmetic,Have the plane emoji in their Warpcast Display name,747,,,1,April 28